label,anatomy,,,isomap,,,MDS,,,tsne,,,PLACE
1005,48.522,147.79,52.743,19.19922297,23.2023814,-39.0863732,10.28734285,-21.38033232,-22.54965926,32.3788611,14.87715468,30.73844789,3
1006,163.17,174.12,29.124,6.449714344,21.89948259,40.25193999,-12.81234105,14.18454655,20.507037,31.92884235,14.8667844,29.76689293,14
1006,151.06,174.97,33.955,3.232927267,5.446461336,-48.04548328,-0.940122867,-4.981876315,-27.93675595,33.23466332,15.68020358,30.42669164,9
1007,166.02,182.8,29.093,0.066552248,-0.853688916,-48.2802401,13.9996353,45.5331937,11.56107448,33.71121409,16.11438498,30.30611699,4
1007,146.29,187.4,39.848,12.07140566,-0.410768753,-46.13417733,8.214015735,61.35510159,-14.1489716,33.30007661,16.12565061,29.39470021,2
1007,129.09,182.84,42.313,-17.00272453,27.35174706,32.74434435,3.623945079,-14.38243363,-17.99916937,32.66178993,16.02137284,28.30760755,16
1007,122.79,188.14,41.754,3.571167859,-12.39297318,48.09363467,8.027084795,77.92861546,3.977193724,33.33535605,16.56185255,28.3644971,12
1007,115.2,189.83,40.188,17.81557981,-23.37424494,35.37982492,18.63000086,32.92998309,-8.786892782,35.57052061,17.89763644,29.7118901,3
1007,116.72,176.97,45.075,-23.82801994,-33.98960618,-23.21902067,9.535854928,-19.07282199,23.3941272,35.74547055,18.21322695,29.30826692,9
1007,106.72,194.75,39.365,-17.33346988,-9.028869981,-41.26229463,-11.13805025,-44.15158601,4.885752181,33.17806084,17.11737803,26.69953997,11
1007,97.968,192.13,38.677,9.1136833,-35.7740374,29.88421797,-9.980211233,-67.00467428,13.08965358,33.48200537,17.48957032,26.4422234,10
1007,107.37,178.61,45.957,-7.543658808,8.910423326,-44.97402555,-0.779086472,15.20168154,-15.9209206,35.21831839,18.62429761,27.29192977,10
1007,99.31,175.83,46.315,9.488832699,-44.55408018,-11.06534497,-3.418388924,43.97735572,17.94837782,34.6864993,18.5685765,26.37216448,10
1007,90.356,179.73,42.73,14.47504421,-45.35472844,-2.037686065,13.42945086,-66.15978115,-10.15278623,35.6795444,19.33341508,26.61091559,2
1007,81.956,182.89,38.409,-48.38125376,0.350212186,4.896284416,-4.151298841,-44.48959589,15.0485252,36.22377722,19.86641205,26.49840874,11
1007,86.715,169.42,44.238,-6.857997931,5.595561073,45.41712896,-4.788726183,-45.7433867,18.87447746,35.69464662,19.81214513,25.60587398,5
1007,73.713,172.05,38.355,-30.10542176,-31.28142082,19.36358213,1.025188061,-66.77312212,8.848607381,35.21804847,19.7817017,24.77031494,4
1008,80.003,206.78,91.734,-33.6192415,1.131485026,36.91289861,4.356652782,-8.348702019,23.05029783,37.2180035,21.15385655,25.66034039,5
1008,77.599,203.84,74.701,-12.19452613,-18.56174705,-44.07464919,-3.400156131,-82.11844996,0.18624519,34.26934208,19.70831314,23.15610009,10
1008,71.54,198.5,90.391,-18.75977261,39.54780256,23.93119173,-1.122582961,-7.446681087,-16.87635724,34.08226921,19.83121698,22.56520163,12
1008,70.674,200.07,70.085,-0.257476342,32.74840559,-32.07665412,15.80431304,1.920588576,-8.062692486,34.46060155,20.28578102,22.35005584,13
1008,86.729,197.78,81.61,3.568360537,15.25490908,-46.31299724,-0.590479104,-2.360444314,17.6277967,36.7282368,21.87200807,23.32854928,7
1008,85.614,193.27,68.856,33.1833577,30.95706009,8.67499789,-12.21634863,15.30145454,-26.29360329,37.417051,22.53981475,23.26850338,14
1008,77.604,192.67,79.934,42.08863134,11.26285951,18.27081329,5.443925418,-20.56391858,-17.75998105,35.90516341,21.87777842,21.85437916,6
1008,81.757,184.33,87.759,10.08396224,-9.701032683,-45.11238549,1.563504383,68.19562813,-6.497432605,35.62441913,21.95501477,21.21656575,6
1008,63.009,194.35,87.186,-20.57260147,17.54685971,39.86474784,2.883834235,-0.582858969,-23.37947456,35.3368896,22.0256517,20.58522129,16
1008,63.561,195.38,65.696,-44.83247393,3.772270599,-3.208197843,8.959070001,-44.24115989,14.13212474,38.083784,24.00660111,21.69262096,16
1008,65.364,186.44,94.072,-2.612695356,-1.133281249,-48.20855768,-16.95745835,26.0692955,16.54567876,34.35182313,21.8981223,19.12499071,9
1008,70.613,181.37,80.742,-4.440532536,-12.84091739,-43.58958105,0.185688385,-0.536606876,-25.72486067,37.17754415,23.96521759,20.22254424,8
1008,55.735,192.85,67.679,12.14871771,44.20696232,3.665582555,7.507025975,72.77225148,11.23176163,36.2164577,23.60630633,19.23877902,9
1008,50.806,188.04,63.151,34.5361555,27.42731274,-23.5344042,-4.686448694,73.41858713,-2.878353926,35.87083451,23.64086862,18.60073458,2
1008,59.528,183.98,79.286,-15.24772839,34.79064327,26.56140101,8.737539783,38.83146964,-11.00315354,36.13515992,24.0785861,18.28198297,11
1008,52.909,181.83,62.506,-10.69964966,0.643699275,-44.01922058,2.522629703,70.9617917,11.70242378,35.04722942,23.61095644,17.29120918,4
1009,168.37,190.87,29.372,40.07143706,20.79298801,-14.44689322,-6.875480145,-9.364025595,-16.31916831,37.80046395,25.7452076,18.17631213,8
1009,155.26,197.65,34.7,-13.89254069,-33.8277626,-29.78362085,-12.18744946,57.73690651,-9.417405862,37.60813211,25.89414314,17.61447779,1
1009,145.58,206.7,38.208,-2.545683267,45.4014426,-10.34256405,-6.506792289,12.48569982,-13.83391502,37.97871202,26.43396372,17.31539789,2
1009,110.52,209.2,44.49,32.24459246,23.34988966,22.36681216,-2.683355577,1.591114838,-18.25817461,34.9892459,24.61734999,15.51804234,8
1009,121.4,202.01,42.97,39.6827416,24.145316,-7.751384339,8.310760531,-59.01534185,10.48812917,37.44191612,26.62762526,16.14194101,6
1009,87.895,198.54,42.537,-10.37492157,-7.168952238,44.78449986,-22.00989271,27.64213589,14.89112471,36.77707718,26.43643115,15.40043517,9
1009,133.17,202.71,40.917,-35.60401156,-2.70362473,-29.0682873,-2.774070189,32.95316087,14.01388581,35.58787972,25.8561081,14.46285997,12
1009,135.92,193.32,42.014,-0.053578756,0.003813853,-49.15202673,-15.49955893,51.70535805,15.81295331,35.90036588,26.36210602,14.14680983,13
1009,97.199,208.58,39.407,-35.68848708,-7.588919296,27.35692084,4.595057016,60.21933566,10.85348872,38.13246317,28.29968532,14.55605847,11
1009,98.728,200.5,41.212,-6.708233915,16.36382,44.73654774,0.564400196,2.156742189,-19.97633475,35.72782715,26.796913,13.197569,1
1010,107.63,154.28,78.083,28.06503263,16.46257774,-37.22067896,13.64489191,35.91565007,-21.98108784,35.24044146,26.71144403,12.58288187,10
1010,102.04,150.03,83.118,22.61547342,-1.963659813,43.33986891,-0.807224937,-0.875870929,21.88517029,35.91987894,27.51412799,12.38220691,15
1010,97.506,162.53,63.368,12.27399297,-39.36122968,22.34606626,-7.753090395,3.370123388,19.84890933,34.67826973,26.84297883,11.52585956,2
1010,95.43,152.82,76.298,-4.879827574,-7.053176172,45.39361151,11.9668475,-61.13024672,1.208953486,36.37855637,28.45504124,11.64105515,3
1011,81.068,193.75,41.115,-32.85467206,-16.31293341,33.72006242,-4.633550811,62.36826771,16.97349332,37.39156852,29.5540163,11.50200499,6
